Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
3123,32.0,0,3,27.0,3,1,3,4.0,1,3.0,0,3.0,0,2,1,1.0,2,25610.0
750,44.0,1,3,34.0,3,1,2,1.0,4,3.0,0,4.0,1,2,1,1.0,0,28320.0
2983,51.0,1,3,15.0,3,2,3,4.0,0,4.0,0,2.0,0,2,1,1.0,1,22553.0
2325,37.0,1,1,7.0,2,1,2,4.0,1,3.0,1,2.0,0,1,0,0.0,2,21474.0
3552,36.0,1,1,7.0,3,2,4,5.0,0,5.0,2,3.0,0,1,0,3.0,1,21128.0
2780,30.0,1,1,15.0,2,2,4,6.0,0,5.0,0,3.0,1,3,1,2.0,1,20797.0
4586,43.0,1,3,21.0,3,0,4,5.0,1,3.0,3,2.0,0,3,1,1.0,2,24922.0
4234,28.0,1,3,9.0,2,2,4,4.0,1,3.0,3,3.0,1,4,0,2.0,2,23156.0
4176,33.0,1,1,9.0,1,2,3,5.0,1,5.0,2,6.0,0,4,0,2.0,2,20854.0
276,35.0,1,1,28.0,2,1,3,2.0,3,4.0,1,1.0,0,5,1,1.0,3,26996.0
1589,43.0,0,3,32.0,2,2,3,3.0,4,3.0,1,2.0,1,1,1,0.0,0,31959.0
3240,26.0,1,1,11.0,1,2,3,4.0,0,3.0,0,3.0,1,3,1,1.0,1,22369.0
4846,30.0,0,1,9.0,3,2,3,5.0,0,5.0,3,2.0,0,4,1,2.0,1,22017.0
3813,29.0,1,3,20.0,3,0,3,4.0,1,3.0,3,5.0,1,5,1,2.0,2,28532.0
2802,37.0,0,3,7.0,3,0,3,4.0,1,3.0,3,6.0,0,2,1,2.0,2,25331.0
4007,47.0,0,1,7.0,3,2,3,5.0,3,5.0,1,4.0,1,1,1,2.0,3,29351.0
2633,52.0,1,1,10.0,3,1,4,4.0,4,4.0,2,5.0,0,5,0,2.0,0,32412.0
4090,34.0,1,1,9.0,2,2,3,4.0,0,3.0,2,2.0,0,3,1,1.0,1,21178.0
4058,33.0,0,3,16.0,3,2,3,6.0,1,3.0,1,2.0,0,1,0,2.0,2,23346.0
4885,52.0,1,3,17.0,2,1,4,4.0,3,4.0,1,7.0,0,1,1,3.0,3,31820.0
68,35.0,0,1,6.0,3,2,3,3.0,0,5.0,0,5.0,0,2,0,1.0,1,17194.0
1888,26.0,1,1,29.0,2,1,2,3.0,0,3.0,1,2.0,0,3,0,0.0,1,17886.0
2761,53.0,1,1,15.0,3,2,3,5.0,1,4.0,0,4.0,0,2,1,2.0,2,23619.0
4379,47.0,0,1,25.0,3,1,3,4.0,3,3.0,1,7.0,0,3,0,2.0,3,29205.0
3461,28.0,1,1,18.0,2,2,4,4.0,0,5.0,0,2.0,0,5,1,3.0,1,20777.0
1363,33.0,1,3,16.0,3,2,2,3.0,1,3.0,2,2.0,0,1,0,0.0,2,20487.0
2149,31.0,0,3,26.0,3,1,2,3.0,1,3.0,1,2.0,0,1,1,1.0,2,21932.0
4877,39.0,0,1,16.0,2,2,4,4.0,1,5.0,1,6.0,0,3,0,3.0,2,25571.0
2622,47.0,1,3,7.0,3,1,4,4.0,3,5.0,1,3.0,0,2,1,2.0,3,29131.0
1973,34.0,1,1,6.0,2,2,2,3.0,0,3.0,1,2.0,0,3,1,1.0,1,17691.0
842,28.0,1,1,18.0,2,1,3,3.0,0,3.0,0,2.0,1,4,1,0.0,1,17515.0
2517,33.0,1,1,7.0,2,2,4,4.0,1,4.0,0,3.0,0,3,0,1.0,2,24898.0
2721,39.0,1,3,14.0,3,1,3,3.0,1,5.0,1,3.0,1,3,0,1.0,2,24283.0
1033,31.0,0,1,6.0,2,1,3,1.0,3,4.0,3,2.0,0,3,1,2.0,3,22446.0
2781,30.0,1,1,16.0,2,2,2,5.0,0,3.0,3,2.0,0,2,1,1.0,1,22661.0
311,45.0,0,1,13.0,2,2,3,3.0,3,5.0,1,2.0,0,2,1,2.0,3,20210.0
2843,32.0,1,1,7.0,2,2,4,5.0,0,5.0,0,3.0,0,4,0,1.0,1,20896.0
1726,42.0,1,1,8.0,3,1,2,4.0,0,5.0,1,1.0,1,4,1,1.0,1,17593.0
4693,52.0,1,1,11.0,2,2,3,4.0,0,3.0,1,2.0,1,1,0,1.0,1,21139.0
2044,34.0,1,1,6.0,2,1,3,1.0,0,3.0,2,3.0,0,1,1,1.0,1,18280.0
2560,35.0,1,1,12.0,3,1,3,5.0,3,5.0,2,4.0,0,2,0,1.0,3,30309.0
468,52.0,1,1,12.0,1,2,3,3.0,1,5.0,1,4.0,1,4,1,2.0,2,20577.0
3506,45.0,0,1,9.0,3,2,3,4.0,3,3.0,2,7.0,1,1,0,2.0,3,28887.0
4078,28.0,0,1,10.0,3,2,4,5.0,0,3.0,1,3.0,1,1,0,3.0,1,21244.0
547,42.0,0,1,25.0,3,2,2,2.0,0,3.0,1,7.0,1,3,1,1.0,1,17759.0
4574,59.0,0,1,9.0,2,2,3,5.0,0,3.0,1,2.0,1,1,1,1.0,1,21058.0
4183,37.0,1,1,13.0,2,2,3,4.0,0,3.0,1,2.0,0,5,1,2.0,1,21888.0
4692,47.0,1,1,15.0,2,1,4,5.0,1,5.0,1,2.0,1,1,1,3.0,2,23293.0
2389,59.0,0,1,20.0,2,0,2,3.0,3,3.0,3,1.0,1,5,1,0.0,3,25512.0
3370,44.0,1,3,11.0,3,1,3,5.0,3,3.0,2,5.0,0,3,1,1.0,3,28909.0
915,21.0,0,1,16.0,2,1,2,4.0,0,3.0,2,2.0,0,4,1,0.0,1,17625.0
2132,20.0,1,3,8.0,3,1,2,4.0,0,3.0,2,2.0,0,4,1,0.0,1,17044.0
1195,49.0,1,1,6.0,2,2,2,3.0,4,3.0,2,5.0,0,3,1,0.0,0,30379.0
883,33.0,1,1,15.0,3,2,2,3.0,0,3.0,0,1.0,0,2,1,0.0,1,17781.0
4559,30.0,1,3,7.0,3,1,3,5.0,0,3.0,1,8.0,1,1,1,2.0,1,21478.0
4089,57.0,1,1,15.0,2,1,4,4.0,0,5.0,1,6.0,1,4,1,2.0,1,22935.0
3040,36.0,1,1,7.0,2,1,3,2.0,0,3.0,2,5.0,0,3,0,1.0,1,21184.0
4515,41.0,0,1,23.0,3,2,3,5.0,1,3.0,3,8.0,0,5,0,1.0,2,23772.0
2320,32.0,0,3,8.0,2,1,3,3.0,0,5.0,1,2.0,0,3,1,0.0,1,17827.0
1753,55.0,1,1,26.0,1,2,2,3.0,1,3.0,1,4.0,1,1,0,0.0,2,20415.0
3157,46.0,1,1,7.0,3,1,4,4.0,0,3.0,1,5.0,0,5,0,2.0,1,20948.0
3,33.0,0,1,9.0,2,1,2,3.0,0,3.0,0,2.0,1,5,1,1.0,1,17909.0
4691,22.0,1,1,17.0,2,1,3,5.0,0,5.0,2,3.0,0,3,0,2.0,1,20094.0
1189,33.0,1,3,8.0,3,2,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,20505.0
1733,46.0,1,3,8.0,1,1,3,5.0,4,4.0,1,4.0,1,5,1,0.0,0,31872.0
4177,47.0,1,3,9.0,1,1,4,6.0,4,4.0,1,5.0,1,5,1,1.0,0,35550.0
952,31.0,0,3,6.0,2,1,2,3.0,0,4.0,2,2.0,1,5,1,1.0,1,17302.0
1669,38.0,1,1,35.0,1,2,2,3.0,1,3.0,1,4.0,0,1,0,0.0,2,21261.0
3465,26.0,1,3,16.0,2,2,4,5.0,0,5.0,0,5.0,0,1,1,1.0,1,23078.0
1476,59.0,1,1,9.0,3,1,2,1.0,0,5.0,1,5.0,1,1,0,1.0,1,17670.0
2753,32.0,1,1,12.0,1,2,3,4.0,0,3.0,0,2.0,1,4,0,2.0,1,23499.0
2465,37.0,1,3,16.0,2,2,3,5.0,1,5.0,3,2.0,0,2,0,1.0,2,22085.0
263,46.0,1,3,8.0,1,1,3,5.0,4,4.0,0,4.0,1,5,1,2.0,0,31872.0
4708,35.0,0,1,10.0,2,2,3,4.0,1,3.0,3,2.0,0,1,1,1.0,2,26434.0
3606,36.0,1,3,17.0,3,2,3,5.0,3,5.0,1,2.0,0,5,1,2.0,3,28984.0
729,35.0,1,1,31.0,3,1,2,3.0,3,3.0,1,2.0,1,3,1,1.0,3,25388.0
1492,34.0,1,1,13.0,2,0,2,3.0,3,4.0,3,1.0,0,5,0,0.0,3,26994.0
4202,27.0,1,1,23.0,3,2,3,4.0,0,4.0,1,4.0,1,1,1,1.0,1,21051.0
1712,41.0,1,1,25.0,2,2,2,3.0,1,5.0,1,3.0,0,1,0,0.0,2,18072.0
1980,54.0,1,2,25.0,3,2,2,3.0,3,4.0,1,3.0,0,3,1,1.0,3,25725.0
1054,49.0,1,1,13.0,2,2,2,3.0,3,4.0,1,4.0,0,4,0,1.0,3,25466.0
2508,37.0,1,1,15.0,1,1,3,4.0,3,3.0,1,3.0,0,4,1,2.0,3,28774.0
1622,53.0,1,3,12.0,3,2,2,3.0,1,3.0,1,3.0,1,5,0,1.0,2,17306.0
60,32.0,1,1,6.0,3,2,2,3.0,1,3.0,0,2.0,1,4,1,0.0,2,21162.0
2054,42.0,0,1,14.0,2,2,3,3.0,2,3.0,1,2.0,0,5,1,1.0,4,33430.0
3292,36.0,0,1,11.0,2,2,3,5.0,0,3.0,0,3.0,0,2,1,1.0,1,21054.0
4289,50.0,1,1,14.0,2,2,3,5.0,3,3.0,2,2.0,0,1,1,1.0,3,29643.0
2008,41.0,1,2,6.0,2,2,2,4.0,2,3.0,1,2.0,0,1,1,1.0,4,34189.0
4065,36.0,1,3,7.0,3,2,4,4.0,3,4.0,1,3.0,0,4,0,1.0,3,25973.0
3747,48.0,1,1,11.0,2,1,4,5.0,3,4.0,1,2.0,1,4,1,3.0,3,29011.0
4788,31.0,1,1,14.0,2,2,3,4.0,1,3.0,1,3.0,0,5,1,2.0,2,22169.0
823,29.0,0,1,16.0,2,1,3,3.0,0,4.0,1,1.0,0,5,1,0.0,1,18291.0
2036,47.0,0,3,33.0,2,1,3,1.0,1,3.0,3,5.0,1,4,0,1.0,2,21397.0
4166,30.0,1,1,22.0,2,2,3,4.0,0,3.0,2,3.0,0,3,1,2.0,1,21018.0
4248,46.0,1,1,15.0,2,2,4,4.0,1,3.0,1,2.0,0,3,1,1.0,2,22375.0
4746,38.0,1,1,32.0,3,1,3,5.0,1,3.0,1,2.0,0,3,1,1.0,2,24409.0
2662,46.0,0,3,13.0,3,0,3,5.0,3,3.0,3,8.0,0,4,1,1.0,3,27543.0
540,28.0,1,1,6.0,2,1,3,5.0,0,4.0,2,1.0,1,2,1,0.0,1,17216.0
2639,38.0,1,1,28.0,2,2,4,3.0,0,5.0,0,3.0,1,3,0,3.0,1,22242.0
4029,38.0,1,3,10.0,2,2,3,4.0,3,3.0,3,4.0,0,3,0,2.0,3,26106.0
2163,36.0,1,3,9.0,2,2,2,4.0,3,3.0,1,2.0,1,1,1,0.0,3,25325.0
2777,44.0,1,1,14.0,2,1,3,4.0,3,5.0,0,2.0,0,5,1,1.0,3,28663.0
1839,31.0,1,1,15.0,2,2,2,4.0,0,4.0,2,1.0,1,3,1,0.0,1,17657.0
4154,40.0,1,1,7.0,3,1,4,4.0,0,3.0,1,2.0,0,3,1,1.0,1,20910.0
3221,22.0,1,1,17.0,2,1,3,5.0,0,5.0,2,3.0,0,3,1,1.0,1,20094.0
921,28.0,0,1,6.0,3,2,2,3.0,0,3.0,2,1.0,1,4,0,0.0,1,17154.0
3862,39.0,0,1,13.0,2,2,4,5.0,1,3.0,1,4.0,0,4,1,2.0,2,23999.0
4191,39.0,1,3,14.0,3,1,3,2.0,1,5.0,1,3.0,1,3,1,2.0,2,24283.0
4561,36.0,1,1,32.0,1,2,4,5.0,3,4.0,1,5.0,0,3,1,2.0,3,29581.0
1049,30.0,1,3,22.0,2,2,3,3.0,1,3.0,0,1.0,0,3,0,2.0,2,20301.0
4697,42.0,1,1,14.0,1,1,3,2.0,0,3.0,1,3.0,0,3,0,1.0,1,22054.0
2232,26.0,0,1,8.0,2,2,2,3.0,0,5.0,1,7.0,1,5,0,0.0,1,17042.0
2201,20.0,1,1,17.0,3,1,3,4.0,0,5.0,2,2.0,1,3,1,2.0,1,17600.0
3147,39.0,0,3,17.0,1,0,3,4.0,1,3.0,3,3.0,1,3,0,2.0,2,24344.0
2378,33.0,1,3,31.0,3,2,2,4.0,3,4.0,3,3.0,1,5,1,0.0,3,23380.0
2658,31.0,1,1,10.0,1,1,3,4.0,0,5.0,3,7.0,1,4,1,2.0,1,21335.0
3276,38.0,1,1,32.0,3,1,3,5.0,1,3.0,1,2.0,0,3,0,2.0,2,24409.0
3319,45.0,1,1,36.0,2,2,3,4.0,1,3.0,3,3.0,0,5,1,2.0,2,23219.0
2635,28.0,1,1,16.0,3,1,3,4.0,0,4.0,2,3.0,0,3,1,1.0,1,20957.0
3448,27.0,1,1,14.0,2,2,4,2.0,0,5.0,3,2.0,0,1,1,1.0,1,22256.0
4462,44.0,0,3,22.0,2,2,3,5.0,1,3.0,1,5.0,0,5,1,1.0,2,25482.0
2153,25.0,1,3,25.0,3,2,2,4.0,0,4.0,1,2.0,1,1,0,1.0,1,17413.0
1500,33.0,1,1,8.0,3,2,3,3.0,0,3.0,2,5.0,0,3,0,2.0,1,17496.0
791,35.0,1,3,10.0,1,2,2,3.0,3,5.0,3,1.0,1,4,1,1.0,3,24582.0
4282,41.0,1,3,29.0,3,2,4,5.0,1,3.0,1,4.0,1,3,1,1.0,2,25058.0
1224,26.0,1,1,23.0,3,2,3,5.0,0,3.0,1,2.0,0,3,0,2.0,1,17305.0
3049,39.0,0,1,19.0,2,2,3,5.0,1,5.0,1,4.0,0,5,1,1.0,2,24966.0
2200,30.0,1,1,14.0,2,1,3,1.0,3,5.0,1,1.0,1,1,0,2.0,3,26416.0
2987,45.0,0,1,31.0,3,2,3,6.0,0,3.0,3,4.0,0,3,0,2.0,1,22386.0
971,51.0,1,1,17.0,1,0,2,4.0,4,4.0,3,4.0,0,1,0,1.0,0,28142.0
1576,50.0,0,1,6.0,2,1,3,3.0,2,4.0,1,4.0,1,1,0,2.0,4,33172.0
1212,34.0,1,1,25.0,2,1,2,4.0,0,3.0,1,2.0,0,4,1,1.0,1,17929.0
554,27.0,1,1,13.0,3,1,2,4.0,1,5.0,3,1.0,0,3,1,0.0,2,21811.0
1835,46.0,0,1,13.0,3,1,1,3.0,1,3.0,1,3.0,0,5,1,0.0,2,20258.0
205,29.0,1,3,33.0,3,1,2,3.0,3,3.0,0,2.0,0,3,1,1.0,3,22639.0
3175,21.0,1,1,18.0,3,1,4,5.0,0,5.0,3,3.0,1,3,0,2.0,1,21278.0
692,32.0,1,1,9.0,3,1,3,3.0,1,5.0,0,2.0,0,2,1,1.0,2,21725.0
1928,40.0,0,3,34.0,2,2,2,5.0,3,5.0,1,4.0,0,5,0,1.0,3,25932.0
3107,22.0,1,1,25.0,2,1,4,4.0,0,3.0,3,3.0,0,3,1,2.0,1,21371.0
867,50.0,0,1,8.0,3,1,1,3.0,4,5.0,0,3.0,0,3,1,0.0,0,32856.0
3783,23.0,1,1,14.0,2,2,4,4.0,0,4.0,2,3.0,1,3,1,1.0,1,21150.0
4720,53.0,1,1,6.0,2,2,3,4.0,3,4.0,2,2.0,0,3,1,2.0,3,29123.0
2198,54.0,1,1,23.0,1,1,2,3.0,3,3.0,1,1.0,0,5,0,0.0,3,25739.0
4105,28.0,1,1,16.0,3,1,5,4.0,0,4.0,2,3.0,0,3,0,2.0,1,20957.0
2442,18.0,1,3,15.0,3,2,2,3.0,0,3.0,2,2.0,0,5,0,1.0,1,16611.0
1465,36.0,0,1,29.0,3,2,2,1.0,1,3.0,1,5.0,0,3,0,0.0,2,17571.0
615,27.0,0,1,9.0,3,2,2,3.0,0,3.0,0,2.0,0,2,1,0.0,1,16706.0
2952,36.0,1,1,13.0,2,2,3,6.0,1,3.0,3,3.0,0,5,1,1.0,2,25324.0
2280,46.0,1,3,9.0,3,2,2,3.0,4,3.0,1,4.0,0,1,1,0.0,0,32465.0
4612,36.0,1,3,25.0,3,1,3,4.0,1,3.0,1,3.0,0,4,1,2.0,2,23279.0
1257,31.0,1,3,22.0,3,2,3,3.0,3,3.0,1,3.0,0,5,1,0.0,3,23161.0
2078,55.0,1,3,8.0,3,2,2,3.0,1,3.0,2,5.0,0,1,1,0.0,2,20160.0
2554,52.0,0,1,7.0,3,0,2,5.0,3,5.0,3,5.0,0,2,1,1.0,3,26162.0
2547,35.0,1,1,13.0,2,1,3,4.0,1,3.0,3,3.0,0,3,1,1.0,2,23487.0
3854,41.0,1,3,9.0,3,1,4,4.0,1,4.0,1,5.0,0,3,1,2.0,2,24355.0
979,34.0,1,1,35.0,3,2,2,3.0,1,3.0,0,5.0,0,3,0,0.0,2,20429.0
3428,29.0,1,3,33.0,2,2,3,5.0,1,5.0,0,3.0,0,4,1,1.0,2,23402.0
3138,34.0,1,1,7.0,2,0,3,5.0,1,3.0,3,2.0,0,4,0,1.0,2,25627.0
951,41.0,0,3,16.0,3,2,2,5.0,1,4.0,2,2.0,0,1,1,0.0,2,21151.0
4871,41.0,1,3,23.0,3,2,4,4.0,3,3.0,1,4.0,0,5,0,2.0,3,22222.0
290,49.0,0,1,16.0,2,1,2,3.0,2,5.0,2,1.0,1,3,0,0.0,4,33665.0
1040,40.0,0,1,14.0,3,2,2,4.0,3,4.0,1,3.0,0,1,1,1.0,3,28757.0
1104,29.0,1,1,15.0,2,2,3,1.0,0,3.0,1,7.0,0,5,1,0.0,1,17451.0
